競馬場,競走年月日,レース番号,発走時刻,競走種類名称,レース名,副賞名1,副賞名2,副賞名3,副賞名4,副賞名5,副賞名6,副賞名7,副賞名8,副賞名9,副賞名10,副賞名11,副賞名12,副賞名13,副賞名14,副賞名15,芝ダート区分,回り,距離,天候,馬場,頭数,条件,1着賞金(円),2着賞金(円),3着賞金(円),4着賞金(円),5着賞金(円),上がり4F,上がり3F,ハロンタイム1,ハロンタイム2,ハロンタイム3,ハロンタイム4,ハロンタイム5,ハロンタイム6,ハロンタイム7,ハロンタイム8,ハロンタイム9,ハロンタイム10,ハロンタイム11,ハロンタイム12,ハロンタイム13,ハロンタイム14,ハロンタイム15,コーナー名称1,コーナー名称2,コーナー名称3,コーナー名称4,コーナー名称5,コーナー名称6,コーナー名称7,コーナー名称8,コーナー通過順1,コーナー通過順2,コーナー通過順3,コーナー通過順4,コーナー通過順5,コーナー通過順6,コーナー通過順7,コーナー通過順8
盛岡,20260526,2,1205,普通,Ｃ２二組,,,,,,,,,,,,,,,,ダート,左,1400,,,11,サラブレッド系　一般,430000,151000,86000,56000,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260526,3,1240,普通,Ｃ２一組,,,,,,,,,,,,,,,,ダート,左,1400,,,11,サラブレッド系　一般,430000,151000,86000,56000,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260526,4,1315,普通,Ｃ１,,,,,,,,,,,,,,,,ダート,左,1000,,,10,サラブレッド系　一般,500000,175000,100000,65000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260526,5,1355,普通,Ｃ１,,,,,,,,,,,,,,,,ダート,左,1000,,,11,サラブレッド系　一般,500000,175000,100000,65000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260526,6,1430,普通,Ｃ１,,,,,,,,,,,,,,,,ダート,左,1400,,,11,サラブレッド系　一般,500000,175000,100000,65000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260526,7,1505,普通,Ｃ１,,,,,,,,,,,,,,,,ダート,左,1400,,,11,サラブレッド系　一般,500000,175000,100000,65000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260526,8,1540,普通,Ｃ１,,,,,,,,,,,,,,,,ダート,左,1400,,,11,サラブレッド系　一般,500000,175000,100000,65000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260526,9,1615,普通,Ｃ１四組,,,,,,,,,,,,,,,,ダート,左,1400,,,10,サラブレッド系　一般,500000,175000,100000,65000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260526,10,1650,普通,Ｃ１三組,,,,,,,,,,,,,,,,ダート,左,1400,,,11,サラブレッド系　一般,500000,175000,100000,65000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260526,11,1725,普通,Ｃ１二組,,,,,,,,,,,,,,,,ダート,左,1400,,,11,サラブレッド系　一般,500000,175000,100000,65000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
